B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD1616SKF3,HK 1616,457160,142,34,15,0.000028292071684733815,19,0.0214,40,40,40,CC1
ROD1620SKF2,HK 1620.2RS,457170,8,1,1,0.000002787543436482083,1,0.0226,20,22,22,CD9
ROD1622SKF,HK 1622,457180,32,11,8,0.000007501209195130732,7,0.0255,35,46,46,CD1
ROD1712SKF,HK 1712,457200,18,17,7,0.000003826878068558612,13,0.015,15,49,49,CD1
ROD1812SKF,HK 1812,457240,43,22,17,0.00000839598909402644,15,0.0148,15,49,49,CC1
ROD1816SKF,HK 1816,457280,128,60,29,0.00002335531905420516,30,0.0225,33,47,47,CB1
ROD2010SKF,HK 2010,457300,3,1,1,5.115013635629053E-7,1,0.0141,33,47,47,CD9
ROD2012SKF,HK 2012,457320,21,13,7,0.000004112165174187107,10,0.017,19,40,40,CC1
ROD2016SKF,HK 2016,457340,121,41,25,0.00002497044020762933,23,0.0245,33,47,47,CC1
ROD2018SKF,HK 2018 RS,457360,3,2,2,9.698371642011334E-7,2,0.0265,33,47,47,CD2
ROD2020SKF,HK 2020,457380,164,63,39,0.000038064458130032445,31,0.0288,33,47,47,CB1
ROD2020SKF2,HK 2020.2RS,457380,10,1,1,0.0000023080109081418593,1,0.0275,33,47,47,CD9
ROD2030SKF,HK 2030,457400,7,9,6,0.000002372296065926599,7,0.0405,33,47,47,CD2
ROD2212SKF8,HK 2212,457420,24,22,11,0.000005495859759586216,15,0.0193,12,28,28,CC1
ROD2216SKF7,HK 2216,457460,52,23,17,0.000011807619792029569,17,0.0268,40,40,40,CC1
ROD2216SKF8,HK 2216.2RS,457460,6,2,2,0.0000021085531753394765,2,0.0235,33,47,47,CD9
ROD2218SKF6,HK 2218 RS,457480,4,3,3,0.000001201263732226198,3,0.0265,18,28,28,CD2
ROD2220SKF3,HK 2220,457500,44,24,14,0.000010536858591927975,18,0.03,33,47,47,CC1
ROD2512SKF,HK 2512,457520,82,16,5,0.000013342818857397037,10,0.022,15,49,49,CC1
ROD2516SKF,HK 2516,457540,10,7,6,0.0000019796353724306193,5,0.0315,40,40,40,CD1
ROD2520SKF2,HK 2520,457580,137,47,29,0.00002665019400617762,24,0.0385,33,47,47,CC1
ROD2520SKF3,HK 2520.2RS,457580,5,2,2,0.000001703382937625925,2,0.0363,33,47,47,CD9
ROD2526SKF,HK 2526,457620,54,20,14,0.000012768074798067524,18,0.053,40,58,58,CC1
ROD2816SKF,HK 2816,457680,24,20,11,0.000005691842618994828,15,0.0339,33,47,47,CC1
ROD2820SKF,HK 2820,457720,87,38,29,0.000021633866774931626,24,0.0419,20,35,35,CC1
ROD3012SKF,HK 3012,457750,26,17,11,0.000005971569927193293,13,0.0272,15,49,49,CC1
ROD3016SKF,HK 3016,457760,28,15,9,0.0000076137950930888704,10,0.0375,17,39,39,CC1
ROD3018SKF,HK 3018 RS,457780,4,3,3,0.0000015404113754581243,3,0.0405,33,47,47,CD2
ROD3020SKF,HK 3020,457820,46,26,18,0.000011484109079069604,18,0.0462,40,54,54,CC1
ROD3026SKF3,HK 3026,457880,37,12,9,0.00000770448928866626,12,0.0565,33,47,47,CC1
ROD3038SKF3,HK 3038,457900,23,16,13,0.000010564310091738754,13,0.0799,33,47,47,CC1
ROD3512SKF,HK 3512,457920,32,5,3,0.0000071982002351940104,4,0.0305,15,63,63,CD2
ROD3516SKF,HK 3516,457940,1,1,1,3.422750292863191E-7,1,0.0403,23,45,47,OO9
ROD3516SKF2,HK 3516.2RS,457940,2,1,1,7.088741723290263E-7,1,0.0328,17,43,43,CD9
ROD3520SKF2,HK 3520,457980,114,41,26,0.000024837700043987327,22,0.0518,40,54,54,CC1
ROD4012SKF,HK 4012,458000,319,161,61,0.00010996723336859463,36,0.036,23,55,57,BB1
ROD4016SKF,HK 4016,458020,40,6,6,0.000011181795093811636,5,0.0418,23,55,57,CD2
ROD4016SKF2,HK 4016.2RS,458020,7,4,4,0.000003910275030009085,4,0.0445,19,55,57,CD2
ROD4018SKF,HK 4018 RS,458040,133,3,1,0.000043031789646426286,3,0.0508,23,55,57,OO9
ROD4020SKF2,HK 4020,458060,23,11,10,0.00000813745851352997,7,0.0574,26,55,57,CD1
ROD4020SKF3,HK 4020.2RS,458060,28,4,3,0.000011213416441694943,4,0.0558,26,55,57,CD2
ROD4516SKF,HK 4516,458100,55,4,1,0.000010815543438108306,3,0.046,23,55,57,OO9
ROD4520SKF,HK 4520,458140,67,21,14,0.000022539071294008646,16,0.0607,29,65,67,CC1
ROD5020SKF,HK 5020,458220,19,10,9,0.000009645206079086658,9,0.082,29,65,67,CD1
ROD5025SKF,HK 5025,458280,99,41,25,0.00005547774368089136,26,0.097,39,65,67,CC1
ROD5520SKF,HK 5520,458300,1,1,1,4.590307753169823E-7,1,0.088,29,65,67,CD9
ROD6SKF23,NK 6/12 TN,460100,1,1,1,5.41385274749325E-7,1,0.009,15,49,49,CD9
ROD10SKF43,NK 10/12 TN,460240,37,10,7,0.000014159761592272302,10,0.013,15,49,49,CC1
ROD10SKF44,NK 10/16 TN,460260,25,3,2,0.000009555206858188023,3,0.0185,33,47,47,CD2
ROD12SKF41,NK 12/12,460280,6,2,2,0.0000020692871059898782,2,0.015,15,49,49,CD9
ROD12SKF42,NK 12/16,460300,1,1,1,4.0239033899853554E-7,1,0.0209,33,47,47,CD9
ROD14SKF18,NK 14/16,460320,12,7,5,0.000004471814570442274,5,0.0265,33,47,47,CD1
ROD14SKF19,NK 14/20,460340,14,6,6,0.000005339837944205956,6,0.0317,33,47,47,CD2
ROD15SKF26,NK 15/16,460380,47,11,5,0.000018513082979987028,10,0.0263,33,47,47,CD1
ROD15SKF27,NK 15/20,460400,1,1,1,5.007292560422192E-7,1,0.034,40,40,40,CD9
ROD16SKF25,NK 16/16,460420,5,5,4,0.0000017558535258718481,5,0.0285,33,47,47,CD2
ROD16SKF26,NK 16/20,460440,11,5,3,0.000004528802494100098,5,0.0335,33,47,47,CD2
ROD17SKF25,NK 17/16,460460,12,8,4,0.000006289173355383847,6,0.0295,33,47,47,CD2
ROD18SKF12,NK 18/16,460500,19,10,4,0.000010105279316421772,6,0.0305,33,47,47,CD2
ROD18SKF13,NK 18/20,460520,1,1,1,5.087214648478895E-7,1,0.0365,33,47,47,CD9
ROD19SKF14,NK 19/20,460560,12,2,2,0.000006853492794532053,2,0.037,51,31,31,CD9
ROD20SKF49,NK 20/16,460580,37,8,6,0.0000203168897586929,7,0.0331,33,47,47,CD1
ROD20SKF50,NK 20/20,460600,31,14,6,0.000017992546945600325,9,0.0395,33,47,47,CD1
ROD22SKF15,NK 22/16,460680,153,25,11,0.00008434977173504535,19,0.034,33,47,47,BC1
ROD22SKF16,NK 22/20,460700,1,1,1,5.733541099720066E-7,1,0.0425,33,47,47,CD9
ROD24SKF11,NK 24/16,460720,9,2,2,0.0000028817125054532433,2,0.0375,33,47,47,CD9
